Mass/F:Xsec/F:percentError/F
310	4.1307e-01	2.409	
320	3.6904e-01	2.449	
330	3.2556e-01	2.488	
340	2.9142e-01	2.528	
350	2.5916e-01	2.567	
360	2.3407e-01	2.606	
370	2.0958e-01	2.646	
380	1.8956e-01	2.685	
390	1.7002e-01	2.725	
400	1.5343e-01	2.764	
410	1.3853e-01	2.806	
420	1.2515e-01	2.847	
430	1.1423e-01	2.889	
440	1.0307e-01	2.931	
450	9.5050e-02	2.973	
460	8.5642e-02	3.014	
470	7.8585e-02	3.056	
480	7.2916e-02	3.098	
490	6.7126e-02	3.139	
500	6.1095e-02	3.181	
510	5.6131e-02	3.233	
520	5.1551e-02	3.286	
530	4.7727e-02	3.338	
540	4.3889e-02	3.390	
550	4.0662e-02	3.442	
560	3.7372e-02	3.495	
570	3.4650e-02	3.547	
580	3.2423e-02	3.599	
590	3.0174e-02	3.652	
600	2.8053e-02	3.704	
610	2.6103e-02	3.753	
620	2.4051e-02	3.803	
630	2.2696e-02	3.852	
640	2.1214e-02	3.902	
650	1.9888e-02	3.951	
660	1.8532e-02	4.000	
670	1.7320e-02	4.050	
680	1.6372e-02	4.099	
690	1.5225e-02	4.149	
700	1.4487e-02	4.198	
710	1.3389e-02	4.241	
720	1.2561e-02	4.283	
730	1.1854e-02	4.326	
740	1.1202e-02	4.368	
750	1.0526e-02	4.411	
760	9.9166e-03	4.454	
770	9.3975e-03	4.496	
780	8.8369e-03	4.539	
790	8.3305e-03	4.581	
800	7.9144e-03	4.624	
810	7.4022e-03	4.675	
820	7.0580e-03	4.726	
830	6.6543e-03	4.777	
840	6.3465e-03	4.828	
850	5.9972e-03	4.880	
860	5.6500e-03	4.931	
870	5.3551e-03	4.982	
880	5.1427e-03	5.033	
890	4.8614e-03	5.084	
900	4.6273e-03	5.135	
910	4.3372e-03	5.191	
920	4.1539e-03	5.247	
930	3.9209e-03	5.303	
940	3.7685e-03	5.359	
950	3.5432e-03	5.415	
960	3.4043e-03	5.471	
970	3.2329e-03	5.527	
980	3.0944e-03	5.583	
990	2.9620e-03	5.639	
