Rho/F:Pi/F:SinX/F:Xsec/F:percentError/F
230	170	0.3333	3.2664e-01	2.192	
230	180	0.3333	3.2993e-01	2.192	
230	190	0.3333	3.3651e-01	2.192	
230	200	0.3333	3.3578e-01	2.192	
230	210	0.3333	3.3962e-01	2.192	
230	220	0.3333	3.4053e-01	2.192	
230	230	0.3333	3.4200e-01	2.192	
230	50	0.3333	1.8791e-02	2.192	
230	60	0.3333	2.0180e-02	2.192	
230	70	0.3333	2.1185e-02	2.192	
230	80	0.3333	2.4091e-02	2.192	
230	90	0.3333	2.7747e-02	2.192	
240	100	0.3333	2.7948e-02	2.192	
240	110	0.3333	3.8970e-02	2.192	
240	120	0.3333	7.2640e-02	2.192	
240	130	0.3333	9.7097e-02	2.192	
240	140	0.3333	1.3855e-01	2.192	
240	150	0.3333	2.1094e-01	2.192	
240	160	0.3333	2.7893e-01	2.192	
240	170	0.3333	2.8405e-01	2.192	
240	180	0.3333	2.9411e-01	2.192	
240	190	0.3333	2.9575e-01	2.192	
240	200	0.3333	3.0014e-01	2.192	
240	210	0.3333	3.0489e-01	2.192	
240	220	0.3333	3.0434e-01	2.192	
240	230	0.3333	3.0379e-01	2.192	
240	240	0.3333	3.0416e-01	2.192	
240	50	0.3333	1.6511e-02	2.192	
240	60	0.3333	1.7604e-02	2.192	
240	70	0.3333	1.8772e-02	2.192	
240	80	0.3333	2.0491e-02	2.192	
240	90	0.3333	2.3068e-02	2.192	
250	100	0.3333	2.2940e-02	2.192	
250	110	0.3333	2.9520e-02	2.192	
250	120	0.3333	4.6282e-02	2.192	
250	130	0.3333	7.1086e-02	2.192	
250	140	0.3333	9.4574e-02	2.192	
250	150	0.3333	1.3177e-01	2.192	
250	160	0.3333	1.9650e-01	2.192	
250	170	0.3333	2.4859e-01	2.192	
250	180	0.3333	2.5535e-01	2.192	
250	190	0.3333	2.6011e-01	2.192	
250	200	0.3333	2.6998e-01	2.192	
250	210	0.3333	2.6541e-01	2.192	
250	220	0.3333	2.7181e-01	2.192	
250	230	0.3333	2.7107e-01	2.192	
250	240	0.3333	2.7016e-01	2.192	
250	250	0.3333	2.7016e-01	2.192	
250	50	0.3333	1.4696e-02	2.192	
250	60	0.3333	1.5352e-02	2.192	
250	70	0.3333	1.6255e-02	2.192	
250	80	0.3333	1.7732e-02	2.192	
250	90	0.3333	1.9650e-02	2.192	
260	100	0.3333	1.9522e-02	2.192	
260	110	0.3333	2.3397e-02	2.192	
260	120	0.3333	3.2116e-02	2.192	
260	130	0.3333	5.5293e-02	2.192	
260	140	0.3333	7.0008e-02	2.192	
260	150	0.3333	9.0188e-02	2.192	
260	160	0.3333	1.2453e-01	2.192	
260	170	0.3333	1.7999e-01	2.192	
260	180	0.3333	2.2172e-01	2.192	
260	190	0.3333	2.2446e-01	2.192	
260	200	0.3333	2.3123e-01	2.192	
260	210	0.3333	2.3543e-01	2.192	
260	220	0.3333	2.3817e-01	2.192	
260	230	0.3333	2.3872e-01	2.192	
260	240	0.3333	2.3964e-01	2.192	
260	250	0.3333	2.3890e-01	2.192	
260	260	0.3333	2.3964e-01	2.192	
260	50	0.3333	1.2808e-02	2.192	
260	60	0.3333	1.3305e-02	2.192	
260	70	0.3333	1.4320e-02	2.192	
260	80	0.3333	1.5307e-02	2.192	
260	90	0.3333	1.7138e-02	2.192	
270	100	0.3333	1.6076e-02	2.192	
270	110	0.3333	1.9028e-02	2.192	
270	120	0.3333	2.4420e-02	2.192	
270	130	0.3333	3.6978e-02	2.192	
270	140	0.3333	5.3319e-02	2.192	
270	150	0.3333	6.6023e-02	2.192	
270	160	0.3333	8.5673e-02	2.192	
270	170	0.3333	1.1857e-01	2.192	
270	180	0.3333	1.6579e-01	2.192	
270	190	0.3333	1.9869e-01	2.192	
270	200	0.3333	2.0034e-01	2.192	
270	210	0.3333	2.0436e-01	2.192	
270	220	0.3333	2.1021e-01	2.192	
270	230	0.3333	2.0947e-01	2.192	
270	240	0.3333	2.0893e-01	2.192	
270	250	0.3333	2.1149e-01	2.192	
270	260	0.3333	2.1185e-01	2.192	
270	270	0.3333	2.1075e-01	2.192	
270	50	0.3333	1.1541e-02	2.192	
270	60	0.3333	1.1815e-02	2.192	
270	70	0.3333	1.2530e-02	2.192	
270	80	0.3333	1.3300e-02	2.192	
270	90	0.3333	1.4722e-02	2.192	
280	100	0.3333	1.4093e-02	2.192	
280	110	0.3333	1.6082e-02	2.192	
280	120	0.3333	1.9394e-02	2.192	
280	130	0.3333	2.6395e-02	2.192	
280	140	0.3333	4.2133e-02	2.192	
280	150	0.3333	5.0523e-02	2.192	
280	152	0.3333	5.3447e-02	2.192	
280	154	0.3333	5.5677e-02	2.192	
280	156	0.3333	5.7578e-02	2.192	
